lemon juice	lemon	3
brussels sprout	onion	8
sunflower oil	asparagus	1
cabernet sauvignon wine	apple	86
cabernet sauvignon wine	jamaican rum	88
cabernet sauvignon wine	rum	86
cabernet sauvignon wine	red wine	165
cabernet sauvignon wine	cider	52
cabernet sauvignon wine	port wine	133
cabernet sauvignon wine	white wine	155
cabernet sauvignon wine	champagne wine	128
cabernet sauvignon wine	whiskey	68
cabernet sauvignon wine	beer	107
cabernet sauvignon wine	cognac	94
cabernet sauvignon wine	cherry brandy	2
cabernet sauvignon wine	pineapple	55
cabernet sauvignon wine	sherry	138
cabernet sauvignon wine	apple brandy	17
cabernet sauvignon wine	wine	128
porcini	shiitake	117
porcini	enokidake	117
porcini	matsutake	117
porcini	mushroom	117
anise seed	mango	2
milk	parmesan cheese	79
milk	beer	78
milk	blue cheese	76
milk	cheddar cheese	76
milk	root	1
milk	roasted beef	77
grape	strawberry	84
grape	concord grape	125
grape	apple	79
grape	muscat grape	125
camembert cheese	provolone cheese	128
camembert cheese	cheese	127
camembert cheese	cheddar cheese	130
camembert cheese	romano cheese	128
camembert cheese	feta cheese	129
camembert cheese	emmental cheese	127
camembert cheese	parmesan cheese	128
camembert cheese	cottage cheese	127
camembert cheese	mozzarella cheese	127
camembert cheese	swiss cheese	130
camembert cheese	cream cheese	127
camembert cheese	blue cheese	132
camembert cheese	goat cheese	127
camembert cheese	truffle	16
camembert cheese	munster cheese	127
camembert cheese	sheep cheese	127
camembert cheese	roquefort cheese	127
camembert cheese	gruyere cheese	129
peanut	beef	72
peanut	raw beef	72
peanut	peanut butter	97
peanut	roasted peanut	97
peanut	roasted beef	74
geranium	gardenia	5
geranium	flower	5
geranium	carnation	5
geranium	black tea	11
melon	strawberry	67
melon	apple	71
melon	nectarine	31
melon	durian	15
rye flour	veal	4
mackerel	eel	65
mackerel	fish	64
mackerel	salmon	64
mackerel	haddock	64
mackerel	cod	64
mackerel	tuna	65
mackerel	smoked salmon	64
mackerel	herring	64
mackerel	smoked fish	64
mackerel	catfish	64
thai pepper	pepper	36
thai pepper	green bell pepper	36
thai pepper	black pepper	36
thai pepper	cayenne	36
thai pepper	bell pepper	36
thai pepper	tabasco pepper	38
yeast	peanut butter	1
lima bean	kidney bean	87
lima bean	red bean	86
lima bean	black bean	86
lima bean	bean	86
lima bean	soybean	86
lima bean	mung bean	86
lima bean	red kidney bean	90
black pepper	pepper	36
black pepper	green bell pepper	36
black pepper	tabasco pepper	36
black pepper	cayenne	36
black pepper	bell pepper	36
peanut butter	coffee	86
peanut butter	raw beef	99
peanut butter	roasted peanut	144
peanut butter	beef	99
peanut butter	chicken broth	1
peanut butter	potato chip	23
peanut butter	pork liver	15
peanut butter	soybean	88
peanut butter	popcorn	23
peanut butter	lentil	1
peanut butter	roasted beef	105
kidney bean	red bean	86
kidney bean	black bean	86
kidney bean	bean	86
kidney bean	soybean	86
kidney bean	mung bean	86
kidney bean	red kidney bean	86
apple brandy	apple	14
apple brandy	rum	15
apple brandy	red wine	17
apple brandy	cider	15
apple brandy	port wine	15
apple brandy	white wine	17
apple brandy	cognac	16
apple brandy	sherry	15
apple brandy	jamaican rum	15
ouzo	cinnamon	2
asparagus	soybean	39
egg noodle	corn flake	4
black mustard seed oil	pineapple	1
pork	raw beef	97
pork	beef	97
pork	roasted pork	115
pork	bacon	115
pork	cured pork	115
pork	chicken	80
pork	roasted beef	97
pork	pork sausage	115
celery oil	lovage	1
red bean	black bean	86
red bean	bean	86
red bean	soybean	86
red bean	mung bean	86
red bean	red kidney bean	86
tea	coffee	86
tea	peppermint oil	17
tea	jasmine tea	171
tea	black tea	171
tea	peppermint	29
tea	japanese plum	6
tea	green tea	171
tea	lemon peel	8
almond	roasted almond	9
bacon	raw beef	102
bacon	beef	102
bacon	roasted pork	115
bacon	cured pork	115
bacon	chicken	84
bacon	roasted beef	102
bacon	pork sausage	119
lavender	gardenia	5
lavender	sassafras	4
lavender	flower	5
lavender	carnation	5
lavender	green tea	18
currant	raspberry	31
bergamot	orange	9
bergamot	lemon	9
bergamot	tangerine	8
frankfurter	veal	48
guava	strawberry	83
guava	cinnamon	25
guava	nectarine	32
guava	black tea	82
sauerkraut	rum	10
tarragon	cinnamon	7
soy sauce	beer	3
milk fat	cured pork	4
litchi	strawberry	24
corn flake	corn grit	4
corn flake	veal	4
corn flake	whole grain wheat flour	4
jasmine	flower	5
jasmine	orange flower	6
jasmine	gardenia	6
jasmine	black tea	10
jasmine	carnation	5
jasmine	green tea	11
vinegar	cognac	25
roasted almond	roasted peanut	10
cinnamon	anise	10
cinnamon	ginger	23
cinnamon	fennel	10
cinnamon	nutmeg	20
cinnamon	star anise	7
smoke	smoked sausage	3
buckwheat	black tea	45
popcorn	coffee	25
popcorn	roasted peanut	23
mussel	strawberry	15
peppermint oil	green tea	21
peppermint oil	black tea	21
peppermint oil	peppermint	58
peppermint oil	jasmine tea	17
apple	orange juice	30
apple	white wine	105
apple	honey	41
apple	pineapple	64
apple	nectarine	32
apple	cherry	31
apple	beer	91
apple	cognac	86
apple	quince	36
apple	bartlett pear	44
apple	banana	85
apple	kiwi	36
apple	red wine	86
apple	pear	44
apple	orange	67
apple	concord grape	80
apple	apricot	74
apple	plum	64
apple	cider	59
apple	strawberry	114
apple	muscat grape	81
radish	white wine	11
soybean	cauliflower	17
soybean	raw beef	96
soybean	beef	96
soybean	roasted peanut	88
soybean	black bean	86
soybean	bean	86
soybean	oat	31
soybean	black tea	96
soybean	mung bean	86
soybean	red kidney bean	86
soybean	soybean oil	4
soybean	roasted beef	100
soybean	okra	18
herring	eel	64
herring	salmon	65
herring	smoked fish	64
herring	haddock	64
herring	cod	65
herring	tuna	65
herring	smoked salmon	65
herring	fish	64
herring	catfish	64
lime	lemon	58
lime	citrus	51
lime	lime juice	2
lime	tangerine	53
lime	orange	56
lime	mandarin	53
chinese cabbage	munster cheese	2
rutabaga	beer	11
sake	beer	23
crab	roasted beef	28
blueberry	juniper berry	52
blueberry	black currant	55
blueberry	huckleberry	53
blueberry	black raspberry	52
blueberry	elderberry	54
blueberry	strawberry	58
blueberry	blackberry	57
blueberry	cranberry	58
blueberry	raspberry	55
blueberry	berry	52
tangerine	lemon	55
tangerine	strawberry	41
tangerine	citrus	51
tangerine	orange	62
tangerine	mandarin	53
pecan	roasted pecan	48
olive	strawberry	47
olive	olive oil	3
spearmint	oregano	1
spearmint	black tea	23
malt	beer	60
enokidake	shiitake	117
enokidake	matsutake	117
enokidake	mushroom	117
smoked sausage	roasted pork	45
whiskey	jamaican rum	79
whiskey	rum	76
whiskey	red wine	68
whiskey	parmesan cheese	67
whiskey	white wine	72
whiskey	beer	70
whiskey	cognac	71
whiskey	sherry	69
chayote	wine	1
honey	strawberry	40
honey	lilac flower oil	1
carrot	black tea	26
lamb	raw beef	58
lamb	wheat	5
lamb	roasted beef	58
lamb	beef	58
rhubarb	concord grape	8
cottage cheese	provolone cheese	128
cottage cheese	cheese	127
cottage cheese	sheep cheese	127
cottage cheese	romano cheese	127
cottage cheese	roquefort cheese	127
cottage cheese	emmental cheese	127
cottage cheese	feta cheese	127
cottage cheese	parmesan cheese	130
cottage cheese	mozzarella cheese	127
cottage cheese	swiss cheese	127
cottage cheese	cream cheese	130
cottage cheese	blue cheese	131
cottage cheese	goat cheese	127
cottage cheese	munster cheese	127
cottage cheese	cheddar cheese	131
cottage cheese	gruyere cheese	127
hop	beer	62
kohlrabi	roasted beef	20
cardamom	black tea	32
grape brandy	cognac	6
mandarin peel	peppermint	5
date	cheddar cheese	2
cabbage	horseradish	2
